id;class;holiday;weekends;time
0;0;0;0;6
1;0;0;0;6
2;0;0;0;5
3;0;0;0;3
4;0;0;1;7
5;0;0;1;5
6;0;0;1;4
7;1;0;1;3
8;0;0;1;6
9;0;0;1;5
10;0;0;1;4
11;0;0;1;7
12;0;0;1;6
13;0;0;1;5
14;0;0;1;4
15;0;0;1;4
16;0;0;1;3
17;0;0;1;7
18;0;0;1;6
19;0;0;1;5
20;0;0;1;4
21;1;0;1;4
22;0;0;1;3
23;0;0;1;3
24;0;0;1;7
25;0;0;1;6
26;0;0;1;5
27;0;0;1;4
28;0;0;1;3
29;1;0;0;7
30;0;0;0;6
31;0;0;0;5
32;0;0;0;5
33;0;0;0;4
34;0;0;0;7
35;0;0;0;6
36;0;0;0;5
37;0;0;0;4
38;0;0;1;6
39;1;0;1;5
40;0;0;1;4
41;1;0;1;7
42;0;0;1;6
43;0;0;1;5
44;0;0;1;4
45;0;0;1;6
46;1;0;1;6
47;1;0;1;5
48;0;0;1;4
49;0;0;1;3
50;0;0;1;7
51;0;0;1;6
52;0;0;1;5
53;0;0;1;4
54;0;0;1;4
55;0;0;1;7
56;1;0;1;6
57;0;0;1;5
58;0;0;1;4
59;0;0;1;3
60;1;0;0;7
61;0;0;0;6
62;0;0;0;5
63;0;0;0;4
64;0;0;0;7
65;0;0;0;6
66;0;0;0;4
67;0;0;0;3
68;0;0;1;7
69;0;0;1;6
70;0;0;1;5
71;0;0;1;4
72;0;0;1;3
73;0;0;1;7
74;0;0;1;6
75;0;0;1;5
76;0;0;1;4
77;0;0;1;3
78;0;0;1;7
79;1;0;1;6
80;0;0;1;6
81;0;0;1;5
82;0;0;1;4
83;0;0;1;7
84;0;0;1;7
85;1;0;1;5
86;0;0;1;4
87;1;0;1;3
88;0;0;1;7
89;0;0;1;6
90;0;0;1;5
91;0;0;1;4
92;0;0;0;7
93;0;0;0;6
94;0;0;0;5
95;0;0;0;4
96;0;0;0;7
97;0;0;0;6
98;0;0;0;5
99;0;0;0;4
100;0;0;1;7
101;0;0;1;6
102;0;0;1;4
103;1;0;1;3
104;0;0;1;7
105;0;0;1;6
106;0;0;1;5
107;1;0;1;4
108;0;0;1;3
109;0;0;1;7
110;0;0;1;6
111;0;0;1;5
112;0;0;1;4
113;0;0;1;3
114;0;0;1;7
115;0;0;1;6
116;0;0;1;6
117;0;0;1;5
118;0;0;1;4
119;0;0;1;4
120;0;0;1;3
121;0;0;1;7
122;0;0;1;6
123;0;0;1;6
124;0;0;1;5
125;0;0;0;6
126;0;0;0;4
127;0;0;0;7
128;0;0;0;6
129;0;0;0;5
130;0;0;0;4
131;0;0;0;3
132;0;0;1;7
133;1;0;1;6
134;0;0;1;5
135;0;0;1;5
136;0;0;1;3
137;0;0;1;7
138;0;0;1;6
